category,layer,rank,mode,count,relative_projection_error_mean,relative_projection_error_std,raw_reconstruction_error_mean,raw_reconstruction_error_std
object_motion,0,32,raw,30,0.4307376743351412,0.04489201086757174,0.4307376743351412,0.04489201086757174
object_motion,0,4,history_centered,30,0.8134038609238393,0.02932181781646111,0.7188473782185969,0.04714934287743347
object_motion,0,4,raw,30,0.7393285451891286,0.050081162280927856,0.7393285451891286,0.050081162280927856
object_motion,0,64,history_centered,30,0.3485073805041775,0.03331323846028836,0.30768384858647324,0.03190796698066073
object_motion,0,64,raw,30,0.3098081455173015,0.032214426663157096,0.3098081455173015,0.032214426663157096
object_motion,0,8,history_centered,30,0.7252353542384339,0.03777085084286037,0.6410206328406798,0.04949387991490068
object_motion,0,8,raw,30,0.6551496168214956,0.049678296887434345,0.6551496168214956,0.049678296887434345
object_motion,15,1,history_centered,30,0.5205346209263924,0.03402580245935896,0.5074575969722852,0.03463438832039765
object_motion,15,1,raw,30,0.5529465613627484,0.028254844392135516,0.5529465613627484,0.028254844392135516
object_motion,15,16,history_centered,30,0.3817517544605456,0.038805847372201066,0.3722004178686993,0.038986075491930144
object_motion,15,16,raw,30,0.37454457833809573,0.03879644025021003,0.37454457833809573,0.03879644025021003
object_motion,15,2,history_centered,30,0.49301373263991694,0.0365874976133772,0.4806481771825932,0.03713885271478314
object_motion,15,2,raw,30,0.5033697828191398,0.03494061946597002,0.5033697828191398,0.03494061946597002
object_motion,15,32,history_centered,30,0.33428927259146496,0.04398240332309015,0.3259391522007818,0.043845344859282515
object_motion,15,32,raw,30,0.3273174840135628,0.04347080189232739,0.3273174840135628,0.04347080189232739
object_motion,15,4,history_centered,30,0.46119021354075646,0.03413866726490865,0.44962345358486183,0.034687689184732313
object_motion,15,4,raw,30,0.45907544663437905,0.03606984238521774,0.45907544663437905,0.03606984238521774
object_motion,15,64,history_centered,30,0.2853373057700782,0.05200042748595754,0.27821729683888713,0.051443651499569296
object_motion,15,64,raw,30,0.2788510393577603,0.050980083540289725,0.2788510393577603,0.050980083540289725
object_motion,15,8,history_centered,30,0.4243496028537448,0.03586081440101674,0.4137184677600846,0.03626476312838047
object_motion,15,8,raw,30,0.4192458572950295,0.03582273010267377,0.4192458572950295,0.03582273010267377
object_motion,22,1,history_centered,30,0.7041937862044133,0.036516722221139074,0.5999541105053332,0.04258979085078458
object_motion,22,1,raw,30,0.6386605942774979,0.0447707973687493,0.6386605942774979,0.0447707973687493
object_motion,22,16,history_centered,30,0.41072298142022934,0.05893293630933382,0.35037444579074567,0.05638460237897557
object_motion,22,16,raw,30,0.35288818783035636,0.05583495109544719,0.35288818783035636,0.05583495109544719
object_motion,22,2,history_centered,30,0.5571867330730903,0.05559361905929632,0.47483329734939594,0.053515480639074325
object_motion,22,2,raw,30,0.5203930266496342,0.049580660014844694,0.5203930266496342,0.049580660014844694
object_motion,22,32,history_centered,30,0.3617054456597636,0.06503828841332795,0.30872630687136776,0.06098946199737915
object_motion,22,32,raw,30,0.30982623115332747,0.06031756217522853,0.30982623115332747,0.06031756217522853
object_motion,22,4,history_centered,30,0.510105812585331,0.055276404446443696,0.43484460352443677,0.0536522951160557
object_motion,22,4,raw,30,0.44414778455474,0.0519102508541323,0.44414778455474,0.0519102508541323
object_motion,22,64,history_centered,30,0.3142605435394646,0.0729283531819472,0.2684078428338386,0.06695367057874062
object_motion,22,64,raw,30,0.2687459196751541,0.06639159837357567,0.2687459196751541,0.06639159837357567
object_motion,22,8,history_centered,30,0.46120966342857334,0.05645875548571417,0.39328406082647177,0.05455139835476275
object_motion,22,8,raw,30,0.39875014460880015,0.05355592156251396,0.39875014460880015,0.05355592156251396
object_motion,23,1,history_centered,30,0.7115333993976223,0.034380095936842416,0.5753129838953465,0.037541222548565525
object_motion,23,1,raw,30,0.6417142026848014,0.038910978242884635,0.6417142026848014,0.038910978242884635
object_motion,23,16,history_centered,30,0.4235622524385887,0.05662882628497012,0.34285828341650076,0.051342430457621116
object_motion,23,16,raw,30,0.3455521468301838,0.0507461602689472,0.3455521468301838,0.0507461602689472
object_motion,23,2,history_centered,30,0.5616499041788916,0.05204882580310284,0.45431984096390393,0.04824318124898316
object_motion,23,2,raw,30,0.5299877514530351,0.0429785699269798,0.5299877514530351,0.0429785699269798
object_motion,23,32,history_centered,30,0.37461778366362214,0.06277702318447627,0.3033465734760645,0.05564023386559125
object_motion,23,32,raw,30,0.3043719192552768,0.054945075658669934,0.3043719192552768,0.054945075658669934
object_motion,23,4,history_centered,30,0.5186169595552736,0.05290757723413452,0.4196077315524398,0.04906376022450028
object_motion,23,4,raw,30,0.43090567194084367,0.047906742586678173,0.43090567194084367,0.047906742586678173
object_motion,23,64,history_centered,30,0.3267515093702212,0.07159738917338115,0.26470027457176404,0.061989844544718606
object_motion,23,64,raw,30,0.26503082823167257,0.06137236172392054,0.26503082823167257,0.06137236172392054
object_motion,23,8,history_centered,30,0.472228648237186,0.05416387524205601,0.3821556041773323,0.04979066035299852
object_motion,23,8,raw,30,0.3883774088905417,0.049846492330947595,0.3883774088905417,0.049846492330947595
object_motion,7,1,history_centered,30,0.9615691517574453,0.010503867765839366,0.9094820442457568,0.02323206004064586
object_motion,7,1,raw,30,0.9355738047023213,0.021631411095680706,0.9355738047023213,0.021631411095680706
object_motion,7,16,history_centered,30,0.7327362781176262,0.031000320995938933,0.693012257790206,0.03297406997143899
object_motion,7,16,raw,30,0.6992266586601372,0.03192993567888589,0.6992266586601372,0.03192993567888589
object_motion,7,2,history_centered,30,0.9304655092052031,0.012185093534379982,0.8800683152964622,0.023572752257502064
object_motion,7,2,raw,30,0.9048576551671537,0.022102653768832733,0.9048576551671537,0.022102653768832733
object_motion,7,32,history_centered,30,0.6488552593703389,0.04059133671639055,0.6136365183269412,0.04018814649674109
object_motion,7,32,raw,30,0.6163803743539531,0.03949786510785256,0.6163803743539531,0.03949786510785256
object_motion,7,4,history_centered,30,0.885701153556544,0.01501762321865602,0.8377063307876971,0.023518829462857164
object_motion,7,4,raw,30,0.8547479792470121,0.02302536372390447,0.8547479792470121,0.02302536372390447
object_motion,7,64,history_centered,30,0.5633424498316763,0.05334423189123912,0.5327270244418773,0.05133615111678205
object_motion,7,64,raw,30,0.534002959508499,0.05070511988808412,0.534002959508499,0.05070511988808412
object_motion,7,8,history_centered,30,0.819570532479715,0.022958289454860482,0.7751530310733268,0.02773321729563071
object_motion,7,8,raw,30,0.7870609585213633,0.026249230051671922,0.7870609585213633,0.026249230051671922
scene_cut,0,1,history_centered,45,0.8928263262191183,0.06558950584431032,0.7364670119448392,0.1398619743676322
scene_cut,0,1,raw,45,0.7843332392125482,0.1463744651688574,0.7843332392125482,0.1463744651688574
scene_cut,0,16,history_centered,45,0.586855452381137,0.1197999024982583,0.49432503921147547,0.1461643483440979
scene_cut,0,16,raw,45,0.4970415250643086,0.1396168348532189,0.4970415250643086,0.1396168348532189
scene_cut,0,2,history_centered,45,0.8463751183273154,0.07096895715552178,0.6986032425131163,0.1372504043463606
scene_cut,0,2,raw,45,0.720561194908254,0.13765703806675408,0.720561194908254,0.13765703806675408
scene_cut,0,32,history_centered,45,0.46708425966313716,0.11204469466784114,0.3940950487478737,0.12772161704945365
scene_cut,0,32,raw,45,0.39312114382905283,0.12069725211866103,0.39312114382905283,0.12069725211866103
scene_cut,0,4,history_centered,45,0.7856804517255226,0.07583065305930102,0.6489808466685995,0.13209482784280868
scene_cut,0,4,raw,45,0.6608172498314355,0.12897475404004158,0.6608172498314355,0.12897475404004158
scene_cut,0,64,history_centered,45,0.3538454174404254,0.09594152544822354,0.2988869426941062,0.10698583543360196
scene_cut,0,64,raw,45,0.2958955931976595,0.0975985382499102,0.2958955931976595,0.0975985382499102
scene_cut,0,8,history_centered,45,0.7041224468529163,0.09707700743744622,0.586510374063085,0.1402510239926525
scene_cut,0,8,raw,45,0.593727098194496,0.13092109597556595,0.593727098194496,0.13092109597556595
scene_cut,15,1,history_centered,45,0.4608119491833827,0.06851433706777535,0.44869381400777036,0.0679198363197434
scene_cut,15,1,raw,45,0.5021333894105703,0.058746662064769604,0.5021333894105703,0.058746662064769604
scene_cut,15,16,history_centered,45,0.31755083575272014,0.07908774020820243,0.3095075180521324,0.07870044808848739
scene_cut,15,16,raw,45,0.310917955338065,0.07768834880872687,0.310917955338065,0.07768834880872687
scene_cut,15,2,history_centered,45,0.4253163131120372,0.07704349077505626,0.41425716935712376,0.07655519279520925
scene_cut,15,2,raw,45,0.44105746791409006,0.06940823822777255,0.44105746791409006,0.06940823822777255
scene_cut,15,32,history_centered,45,0.27962925276328243,0.07697590131955998,0.2726145053824391,0.07664270618807915
