method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s09-09_b03-05,single_cell,C,1,1,0.9986048945671125,0.9986048945671125,0.9986048945671125,0.9986048945671125,0.9656571701967768,0.9656571701967768,0.9656571701967768,33.11229583857539,0.0,6.0,6.0,0.0,6.0
c_s09-09_b06-08,single_cell,C,1,1,0.9994931560357063,0.9994931560357063,0.9994931560357063,0.9994931560357063,0.9643947610684452,0.9643947610684452,0.9643947610684452,33.05522817151551,0.0,6.0,6.0,0.0,6.0
c_s09-09_b09-11,single_cell,C,1,1,0.9953402572167689,0.9953402572167689,0.9953402572167689,0.9953402572167689,0.9569890628444725,0.9569890628444725,0.9569890628444725,31.552153606906884,0.0,6.0,6.0,0.0,6.0
c_s09-09_b12-14,single_cell,C,1,1,1.0008797426618152,1.0008797426618152,1.0008797426618152,1.0008797426618152,0.9591948562751651,0.9591948562751651,0.9591948562751651,31.85530445296515,0.0,6.0,6.0,0.0,6.0
c_s09-09_b15-17,single_cell,C,1,1,1.0016553389868876,1.0016553389868876,1.0016553389868876,1.0016553389868876,0.9475096650822382,0.9475096650822382,0.9475096650822382,30.17312867787062,0.0,6.0,6.0,0.0,6.0
c_s09-09_b18-20,single_cell,C,1,1,1.0024237858472593,1.0024237858472593,1.0024237858472593,1.0024237858472593,0.9487853572666981,0.9487853572666981,0.9487853572666981,29.041784085997136,0.0,6.0,6.0,0.0,6.0
c_s09-09_b21-23,single_cell,C,1,1,0.9851388654606831,0.9851388654606831,0.9851388654606831,0.9851388654606831,0.9543333714204515,0.9543333714204515,0.9543333714204515,29.679808538294594,0.0,6.0,6.0,0.0,6.0
c_s09-09_b24-26,single_cell,C,1,1,0.9982747712024597,0.9982747712024597,0.9982747712024597,0.9982747712024597,0.958271609904628,0.958271609904628,0.958271609904628,31.646363149654363,0.0,6.0,6.0,0.0,6.0
c_s09-09_b27-29,single_cell,C,1,1,0.9982994612899959,0.9982994612899959,0.9982994612899959,0.9982994612899959,0.9648761325961988,0.9648761325961988,0.9648761325961988,33.1667631144765,0.0,6.0,6.0,0.0,6.0
c_s10-10_b00-02,single_cell,C,1,1,1.000681025607236,1.000681025607236,1.000681025607236,1.000681025607236,0.9612156417803552,0.9612156417803552,0.9612156417803552,31.9717108618998,0.0,6.0,6.0,0.0,6.0
c_s10-10_b03-05,single_cell,C,1,1,0.9980935973007303,0.9980935973007303,0.9980935973007303,0.9980935973007303,0.965072420300049,0.965072420300049,0.965072420300049,32.89832086599634,0.0,6.0,6.0,0.0,6.0
c_s10-10_b06-08,single_cell,C,1,1,0.9884250686348979,0.9884250686348979,0.9884250686348979,0.9884250686348979,0.9608810640594828,0.9608810640594828,0.9608810640594828,31.957734348830037,0.0,6.0,6.0,0.0,6.0
c_s10-10_b09-11,single_cell,C,1,1,1.0037148225605357,1.0037148225605357,1.0037148225605357,1.0037148225605357,0.9648972222516292,0.9648972222516292,0.9648972222516292,33.08423410272506,0.0,6.0,6.0,0.0,6.0
c_s10-10_b12-14,single_cell,C,1,1,0.9997440922853502,0.9997440922853502,0.9997440922853502,0.9997440922853502,0.9645461832300614,0.9645461832300614,0.9645461832300614,32.768665482826606,0.0,6.0,6.0,0.0,6.0
c_s10-10_b15-17,single_cell,C,1,1,1.0023326777732056,1.0023326777732056,1.0023326777732056,1.0023326777732056,0.9637671509067431,0.9637671509067431,0.9637671509067431,32.77105920508637,0.0,6.0,6.0,0.0,6.0
c_s10-10_b18-20,single_cell,C,1,1,0.9918442863468429,0.9918442863468429,0.9918442863468429,0.9918442863468429,0.9520712607392047,0.9520712607392047,0.9520712607392047,30.433976400102686,0.0,6.0,6.0,0.0,6.0
c_s10-10_b21-23,single_cell,C,1,1,0.9961069027032876,0.9961069027032876,0.9961069027032876,0.9961069027032876,0.9684393784553971,0.9684393784553971,0.9684393784553971,33.846292796236725,0.0,6.0,6.0,0.0,6.0
c_s10-10_b24-26,single_cell,C,1,1,0.9938828581306355,0.9938828581306355,0.9938828581306355,0.9938828581306355,0.9663540692556942,0.9663540692556942,0.9663540692556942,33.20684516044279,0.0,6.0,6.0,0.0,6.0
c_s10-10_b27-29,single_cell,C,1,1,1.0025571568825777,1.0025571568825777,1.0025571568825777,1.0025571568825777,0.9676299396414255,0.9676299396414255,0.9676299396414255,33.50443988037848,0.0,6.0,6.0,0.0,6.0
c_s11-11_b00-02,single_cell,C,1,1,1.0025143849674774,1.0025143849674774,1.0025143849674774,1.0025143849674774,0.9658140574606895,0.9658140574606895,0.9658140574606895,33.19177721325277,0.0,6.0,6.0,0.0,6.0
c_s11-11_b03-05,single_cell,C,1,1,1.0000602772289269,1.0000602772289269,1.0000602772289269,1.0000602772289269,0.9697918525911149,0.9697918525911149,0.9697918525911149,34.456342114808706,0.0,6.0,6.0,0.0,6.0
c_s11-11_b06-08,single_cell,C,1,1,1.0020291586035812,1.0020291586035812,1.0020291586035812,1.0020291586035812,0.9676273798989434,0.9676273798989434,0.9676273798989434,33.84786710440446,0.0,6.0,6.0,0.0,6.0
