case,sample_id,prompt_index,seed,layer,sampling_step,timestep,branch,head,mask,logical_density,execution_density,exact_attention_mass_mean,output_relative_l2,defect_squared_norm,reference_squared_norm,query_output_nrmse_p95,query_output_nrmse_p99,query_cosine_p05,absolute_lse_error_p95,numerator_relative_l2_p95,static_sparse_head_gate
f81_l0_t1000_cond,,,,0,,1000,cond,10,s3,0.012529350817203522,0.015228076837956905,0.007795000448822975,0.8265988826751709,954.5999145507812,1397.1142578125,1.0565931797027588,1.1622785329818726,0.568033754825592,10.185606956481934,0.9999735951423645,False
f81_l0_t1000_cond,,,,0,,1000,cond,10,s5,0.026429980993270874,0.03253999724984169,0.015736835077404976,0.7906159162521362,873.299072265625,1397.1142578125,0.9823768734931946,1.0345921516418457,0.5885175466537476,9.500543594360352,0.9999486804008484,False
f81_l0_t1000_cond,,,,0,,1000,cond,10,s3_tfull,0.048220157623291016,0.06011082977056503,0.05153326690196991,0.4247790277004242,252.09152221679688,1397.1142578125,0.6280713677406311,0.7039780616760254,0.8526361584663391,3.629004955291748,0.9732446074485779,False
f81_l0_t1000_cond,,,,0,,1000,cond,10,s5_tfull,0.06212078407406807,0.07742274552583694,0.05947510525584221,0.4314369261264801,260.055908203125,1397.1142578125,0.5923060774803162,0.6470472812652588,0.8554349541664124,3.6129255294799805,0.9726353287696838,False
f81_l0_t1000_cond,,,,0,,1000,cond,10,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.04449976980686188,0.7569587826728821,800.5275268554688,1397.1142578125,1.013455867767334,1.1352920532226562,0.5759608149528503,7.550854206085205,0.9996793866157532,False
f81_l0_t1000_cond,,,,0,,1000,cond,10,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.07624842971563339,0.3520418703556061,173.14920043945312,1397.1142578125,0.5096554160118103,0.5808038115501404,0.8925413489341736,2.9976327419281006,0.9483987092971802,False
f81_l0_t1000_cond,,,,0,,1000,cond,11,s3,0.012529350817203522,0.015228076837956905,0.627629280090332,0.5095183849334717,1748.7540283203125,6736.107421875,0.7689537405967712,0.837561845779419,0.8817992210388184,0.6704689264297485,0.48745760321617126,False
f81_l0_t1000_cond,,,,0,,1000,cond,11,s5,0.026429980993270874,0.03253999724984169,0.6432570219039917,0.4857211410999298,1589.217041015625,6736.107421875,0.6819856762886047,0.8085620999336243,0.8886990547180176,0.5670801997184753,0.4759614169597626,False
f81_l0_t1000_cond,,,,0,,1000,cond,11,s3_tfull,0.048220157623291016,0.06011082977056503,0.8237025737762451,0.2798580229282379,527.5755004882812,6736.107421875,0.5649551153182983,0.7478268146514893,0.9114270210266113,0.4789833128452301,0.44248971343040466,False
f81_l0_t1000_cond,,,,0,,1000,cond,11,s5_tfull,0.06212078407406807,0.07742274552583694,0.8393301963806152,0.2658224105834961,475.9838562011719,6736.107421875,0.5549556612968445,0.7224360704421997,0.9127182960510254,0.4604596197605133,0.43849682807922363,False
f81_l0_t1000_cond,,,,0,,1000,cond,11,s3_temporal_pm2,0.05906694009900093,0.07178950309753418,0.9423215389251709,0.06770502030849457,30.87810516357422,6736.107421875,0.1865367889404297,0.23342914879322052,0.9899700284004211,0.2094959318637848,0.1647590547800064,False
f81_l0_t1000_cond,,,,0,,1000,cond,11,s3_tfull_anchor12,0.0691748633980751,0.08589551597833633,0.8262027502059937,0.27635064721107483,514.434326171875,6736.107421875,0.5630720257759094,0.7473620772361755,0.9116284251213074,0.4738714396953583,0.44220930337905884,False
