split,head_role,prediction,rank,records,local_mass_mean,basis_energy_mean,aggregate_full_output_relative_l2,aggregate_local_output_relative_l2,record_error_p95,record_error_max
calibration,localized,oracle_linear,64,30,0.8986631413300832,0.9999999821186065,8.321554890500385e-06,8.69430513436182e-06,2.681282794455193e-05,6.732796823282227e-05
calibration,localized,oracle_linear,8,30,0.8986631413300832,0.9297818978627522,0.03683712305978397,0.03848718086561099,0.18672307600322383,0.24684246441397864
calibration,localized,oracle_nonnegative,16,30,0.8986631413300832,0.9761658608913422,0.02233794659620886,0.023338537849966715,0.11371236070352995,0.1582245255552324
calibration,localized,oracle_nonnegative,32,30,0.8986631413300832,0.9961591998736063,0.008819823154585238,0.009214892498589613,0.04080655033220038,0.0755775094259483
calibration,localized,oracle_nonnegative,64,30,0.8986631413300832,0.9999999821186065,9.301367368250223e-06,9.718006686308197e-06,2.6337980123974693e-05,8.64092263676191e-05
calibration,localized,oracle_nonnegative,8,30,0.8986631413300832,0.9297818978627522,0.037630230305017734,0.039315814033939564,0.19132295356853363,0.25381175915575144
calibration,localized,ridge_linear,16,30,0.8986631413300832,0.9761658608913422,0.022093528404340708,0.02308317135074232,0.1126869132812708,0.14660584831594667
calibration,localized,ridge_linear,32,30,0.8986631413300832,0.9961591998736063,0.009524766661843487,0.009951412780584878,0.041877853752117625,0.07090642170195727
calibration,localized,ridge_linear,64,30,0.8986631413300832,0.9999999821186065,0.004579235409688699,0.004784354661814156,0.012735787636748777,0.016161095079123285
calibration,localized,ridge_linear,8,30,0.8986631413300832,0.9297818978627522,0.03744909337953018,0.039126563380424466,0.18947745957186618,0.24866242140435957
calibration,localized,ridge_nonnegative,16,30,0.8986631413300832,0.9761658608913422,0.023122361709737013,0.02415808953697226,0.11663306757017355,0.16027670264572066
calibration,localized,ridge_nonnegative,32,30,0.8986631413300832,0.9961591998736063,0.010260488844556619,0.010720090417732812,0.045709957148142334,0.07794980751819003
calibration,localized,ridge_nonnegative,64,30,0.8986631413300832,0.9999999821186065,0.004615537329542885,0.004822282665934605,0.01303359625242852,0.016782421325215617
calibration,localized,ridge_nonnegative,8,30,0.8986631413300832,0.9297818978627522,0.03818128967554957,0.0398915571946345,0.19368414264078415,0.25511192154845314
calibration,transitional,oracle_linear,16,19,0.47870709394153793,0.8941958044704638,0.04636256742676775,0.07503882753658571,0.10483794647157589,0.1557409581937051
calibration,transitional,oracle_linear,32,19,0.47870709394153793,0.9784952527598331,0.02137236814322598,0.03459164442696528,0.04400321689668276,0.07915223983243111
calibration,transitional,oracle_linear,64,19,0.47870709394153793,0.9999999905887403,1.893739124858447e-05,3.0650581164211596e-05,3.59831976981725e-05,3.8209837752267175e-05
calibration,transitional,oracle_linear,8,19,0.47870709394153793,0.7787255582056547,0.07474626563512839,0.12097846274060958,0.17840108562862186,0.20501361247291894
calibration,transitional,oracle_nonnegative,16,19,0.47870709394153793,0.8941958044704638,0.04771573827379871,0.07722896409402034,0.10727244492065842,0.15946924509750232
calibration,transitional,oracle_nonnegative,32,19,0.47870709394153793,0.9784952527598331,0.022970884025507225,0.03717887728016015,0.04838855441352949,0.08671033614828934
calibration,transitional,oracle_nonnegative,64,19,0.47870709394153793,0.9999999905887403,2.669890354727164e-05,4.3212758263748454e-05,4.5619321809119586e-05,6.541542745416783e-05
calibration,transitional,oracle_nonnegative,8,19,0.47870709394153793,0.7787255582056547,0.07641019742268236,0.12367157266460437,0.17989148909788796,0.20727265880413925
