candidate_role,selection_scope,evaluation_scope,method,correction,rank,layer,head,aggregate_error_percent,worst_error_percent,passes_0p5_1p0_gate,minimum_arithmetic_reduction,records
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,2,16.71621794247565,20.896224677562714,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,3,4.791445783315767,6.1585914343595505,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,4,2.8028545591416587,3.938785567879677,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,5,3.5561810728926986,4.954426735639572,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,6,6.615775425631664,8.101795613765717,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,7,8.595770094047497,9.363024681806564,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,8,2.6410380587193787,3.703133389353752,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,9,7.013524784626543,7.798049598932266,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,10,3.2822505035168397,4.236557334661484,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,14,11,11.290972453955078,13.539162278175354,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,0,0.07795700337854661,0.08911272161640227,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,1,1.5540703727404217,1.9667433574795723,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,2,0.35587759892081877,0.47051352448761463,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,3,5.02309671106638,7.501626014709473,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,4,1.3278836283440694,1.7453748732805252,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,5,1.9485822566197673,2.777588739991188,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,6,1.3870388792695572,2.056032605469227,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,7,2.8834400436496366,4.1791073977947235,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,8,4.283538363242486,5.02021424472332,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,9,0.0192845753370782,0.03709608572535217,True,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,10,0.9534891073923805,1.2236467562615871,False,1.5,16
Calibration-selected >=1.5x,calibration,validation+test,postrope_recency_g2_event_0,frozen_calibration_basis_oracle_coefficients,16,29,11,0.38750499557861706,0.5122674629092216,True,1.5,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,0,0.2013652820663678,0.22117842454463243,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,1,0.3582357186581111,0.41182786226272583,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,2,0.16700407693412847,0.188615417573601,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,3,0.1678138828356472,0.1755648641847074,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,4,0.15127468100361194,0.17636670963838696,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,5,0.13499619151118114,0.1400380046106875,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,6,0.15421538744742652,0.1588162500411272,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,7,0.3301500213448267,0.44272574596107006,True,1.1618669314796426,16
Calibration-selected quality,calibration,validation+test,postrope_recency_g4_event_0p1,adaptive_rank_oracle,16,0,8,0.19725561365977973,0.20778453908860683,True,1.1618669314796426,16
