layer,split,method,codec,predictor,selected_fraction,index_bits,group_dim,nominal_bps,codebook_static_bits,codebook_sha256,mse,nmse,mean_cosine,p05_cosine,payload_bits,metadata_bits,payload_bps,effective_bps,index_entropy,index_entropy_bps,residual_top10_energy
22,test,residual_pq,pq_1p5b_k64_d4,ema_075,0.5,6,4,1.0,4096,abd2ec26f05712913141dc5f613d58efd1b738d245fe3adee6af3097c6c9e61e,0.00021992579705002385,0.225204016237754,0.8763065589951922,0.5170920256827406,2498560.0,616960.0,1.1884765625,1.1900390625,5.408010310675927,0.9260012888344908,0.4224527827211933
22,test,residual_pq,pq_1p5b_k64_d4,ema_075,1.0,6,4,1.5,4096,abd2ec26f05712913141dc5f613d58efd1b738d245fe3adee6af3097c6c9e61e,0.0001373599121158794,0.14065655004321653,0.9240637199034468,0.6823244539425833,4341760.0,2560.0,1.6572265625,1.6587890625,5.167082542359838,1.2917706355899594,0.4629239965719331
22,val,raw_pq,pq_2b_k256_d4,,1.0,8,4,2.0,16384,28f613e41271859731313bf3564949c67c0f5d7e04da928eea3255e77288b61c,9.8490842481602e-05,0.10085462292966077,0.9487697404507722,0.9388227097748331,2621440.0,0.0,2.0,2.0125,7.864399833316897,1.9660999583292242,0.1219498430920948
22,val,residual_pq,pq_2b_k256_d4,ema_075,0.25,8,4,0.75,16384,d05b5dac5ee12b8d868fce4dbd13422be66dabd2b5dc85c9424cb0b86a106247,0.00029597267078386815,0.30307601556934227,0.8347851866876604,0.33793349187603944,942080.0,308480.0,0.9541015625,0.9666015625,7.922771038672861,0.7451731899170538,0.40726973128363436
22,val,residual_pq,pq_2b_k256_d4,ema_075,0.5,8,4,1.25,16384,d05b5dac5ee12b8d868fce4dbd13422be66dabd2b5dc85c9424cb0b86a106247,0.00016298129585618298,0.16689284733485055,0.9106255203149296,0.610902988136526,1556480.0,308480.0,1.4228515625,1.4353515625,7.912657271739097,1.239082158967387,0.457945071445983
22,val,residual_pq,pq_2b_k256_d4,ema_075,1.0,8,4,2.0,16384,d05b5dac5ee12b8d868fce4dbd13422be66dabd2b5dc85c9424cb0b86a106247,7.966356040029193e-05,0.08157548603471965,0.957259550052069,0.8058184031733491,2785280.0,1280.0,2.1259765625,2.1384765625,7.84145791572294,1.960364478930735,0.5033898108061452
22,test,raw_pq,pq_2b_k256_d4,,1.0,8,4,2.0,16384,28f613e41271859731313bf3564949c67c0f5d7e04da928eea3255e77288b61c,0.00010294229104340898,0.10541290605584716,0.946735308747558,0.9371863826847243,5242880.0,0.0,2.0,2.00625,7.85110282612721,1.9627757065318026,0.12883295686699173
22,test,residual_pq,pq_2b_k256_d4,ema_075,0.25,8,4,0.75,16384,d05b5dac5ee12b8d868fce4dbd13422be66dabd2b5dc85c9424cb0b86a106247,0.000294542843806159,0.30161187213589447,0.8354918177219959,0.3956665989003237,1884160.0,616960.0,0.9541015625,0.9603515625,7.52157634500446,0.7200985215627788,0.3891512464030809
22,test,residual_pq,pq_2b_k256_d4,ema_075,0.5,8,4,1.25,16384,d05b5dac5ee12b8d868fce4dbd13422be66dabd2b5dc85c9424cb0b86a106247,0.00015737976177682833,0.1611568761013562,0.9138477442952804,0.6524673217262427,3112960.0,616960.0,1.4228515625,1.4291015625,7.493601345407262,1.1867001681759077,0.4501587629294647
22,test,residual_pq,pq_2b_k256_d4,ema_075,1.0,8,4,2.0,16384,d05b5dac5ee12b8d868fce4dbd13422be66dabd2b5dc85c9424cb0b86a106247,7.610475258404611e-05,0.07793126666631722,0.9592854725533162,0.8153772763680366,5570560.0,2560.0,2.1259765625,2.1322265625,7.389309028508377,1.8473272571270942,0.5143056276956496
22,val,raw_pq,pq_4b_k256_d2,,1.0,8,2,4.0,8192,c41abe255c89144ffd6dfe9c9ea74ad78c5df1a550735b3f7e76409f78beb2ad,2.0768445280681795e-05,0.02126688801560128,0.9900192218315425,0.9788325148779197,5242880.0,0.0,4.0,4.00625,7.9297496059078725,3.9648748029539362,0.26904981993371696
