layer,endpoint,scheduler_index,timestep,method,velocity_relative_l2,velocity_mean_relative_l2,velocity_p95_relative_l2,activation_relative_l2,rank8_energy,coefficient_r2
2,1,22,77,state_skip1,0.011457637584670652,0.009881136007606983,0.02077105520293116,0.18232101845061083,0.7487388813027605,0.9998558765899493
2,1,22,77,state_skip2,0.011485062018712928,0.009901466779410839,0.020870986115187402,0.1824278536755467,0.7487388813027605,0.999409966522536
2,1,22,77,state_skip4,0.011517166692157046,0.00993344932794571,0.020991034526377912,0.18283369026877205,0.7487388813027605,0.9977138404431775
2,1,22,77,state_noise_skip1,0.011460137442584865,0.009875496849417686,0.02077751830220222,0.1823226406323404,0.7487388813027605,0.9998491306829383
2,1,22,77,state_noise_skip2,0.011490873962744527,0.00989095214754343,0.020884180907160037,0.18243405124164186,0.7487388813027605,0.9993841876159005
2,1,22,77,state_noise_skip4,0.011531473640718064,0.00991514790803194,0.0210183803923428,0.18285577689693672,0.7487388813027605,0.9976213916518102
3,1,22,77,raw_reuse,0.006815572457137825,0.005462177563458681,0.0110810455866158,0.28506244111393014,0.7448553947952854,nan
3,1,22,77,shift_reuse,0.00877094191440587,0.0077104768715798855,0.016983116418123244,0.3418248565385853,0.7448553947952854,nan
3,1,22,77,shift_local_r2,0.0072901212972210664,0.006501868832856417,0.014036556892096992,0.269588406432252,0.7448553947952854,nan
3,1,22,77,shift_rank8_oracle,0.007145078999552964,0.006649971008300781,0.012503770831972356,0.1726620159390798,0.7448553947952854,nan
3,1,22,77,state_skip1,0.0071519721095705665,0.006654774770140648,0.012492479756474491,0.1727483873558989,0.7448553947952854,0.999553679352247
3,1,22,77,state_skip2,0.007173022357169489,0.0066739232279360294,0.01250725723803043,0.1730495876786721,0.7448553947952854,0.9979953184990058
3,1,22,77,state_skip4,0.007198546177216337,0.006701035425066948,0.012529113888740536,0.1742171124169298,0.7448553947952854,0.9919292269587108
3,1,22,77,state_noise_skip1,0.007143238400196994,0.006650689523667097,0.012460530549287792,0.17274358894385342,0.7448553947952854,0.9995784811809056
3,1,22,77,state_noise_skip2,0.007155827486108298,0.006666051689535379,0.012442323565483089,0.17302750609731452,0.7448553947952854,0.998109639065276
3,1,22,77,state_noise_skip4,0.007164879769432671,0.006686176639050245,0.01239538039080798,0.1741389271799198,0.7448553947952854,0.9923366565184503
4,1,22,77,raw_reuse,0.007804393060056306,0.0063797589391469955,0.0139783204998821,0.23767629049456518,0.7013149326968772,nan
4,1,22,77,shift_reuse,0.012001338631496335,0.010776035487651825,0.01955401888117194,0.33416541660585375,0.7013149326968772,nan
4,1,22,77,shift_local_r2,0.006702295953257963,0.006055248435586691,0.009958578459918498,0.2472286821258639,0.7013149326968772,nan
4,1,22,77,shift_rank8_oracle,0.005534053237782591,0.004933558404445648,0.010182103374972938,0.18262836494528503,0.7013149326968772,nan
