sample_id,split,block,target_step,branch,horizon,target_visible,base_renderer,residual_target_sq,output_target_sq,defect_total_energy,tokens,channels,estimated_exact_block_macs,base_renderer_macs,base_fit_and_rollout_ms,rank,error_sq,residual_relative_l2,output_relative_l2,defect_remaining_energy,state_factor_values,state_factor_bytes_fp16,render_macs,render_to_exact_macs,base_plus_render_macs,base_plus_render_to_exact_macs,svd_ms
p05_seed2026082206,selection,20,4,1,2,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,159509.4875926628,7800,1536,475206451200,95846400,2.112362999469042,16,52854.58818656574,0.3172673805581579,0.09898032852468185,0.33135701900182585,149376,298752,383385600,0.0008067769261799112,479232000,0.001008471157724889,9.089782368391752
p05_seed2026082206,selection,20,4,1,2,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,159509.4875926628,7800,1536,475206451200,95846400,2.112362999469042,32,43994.81440579583,0.2894575095873432,0.09030427062021766,0.2758131517662346,298752,597504,766771200,0.0016135538523598225,862617600,0.0018152480839048004,9.089782368391752
p05_seed2026082206,selection,20,4,1,2,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,159509.4875926628,7800,1536,475206451200,95846400,2.112362999469042,64,34225.83101423862,0.25530603278250774,0.07964977349606084,0.21456924983895578,597504,1195008,1533542400,0.003227107704719645,1629388800,0.0034288019362646227,9.089782368391752
p05_seed2026082206,selection,20,4,1,2,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,159509.4875926628,7800,1536,475206451200,95846400,2.112362999469042,96,28423.776807739952,0.23266173822666536,0.07258525992897484,0.1781948980198442,896256,1792512,2300313600,0.004840661557079467,2396160000,0.005042355788624445,9.089782368391752
p05_seed2026082206,selection,20,4,1,3,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,514798.9338719952,7800,1536,475206451200,143769600,1.9923029467463493,0,514798.9338719952,0.9901543406504644,0.3089060140859876,1.0,0,0,0,0.0,143769600,0.0003025413473174667,0.0
p05_seed2026082206,selection,20,4,1,3,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,514798.9338719952,7800,1536,475206451200,143769600,1.9923029467463493,8,79101.89215457061,0.3881302681807242,0.12108796494400008,0.15365589715771158,74688,149376,191692800,0.0004033884630899556,335462400,0.0007059298104074224,9.05165495350957
p05_seed2026082206,selection,20,4,1,3,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,514798.9338719952,7800,1536,475206451200,143769600,1.9923029467463493,16,68329.9625661567,0.3607361514575825,0.11254161306839963,0.13273135970425698,149376,298752,383385600,0.0008067769261799112,527155200,0.001109318273497378,9.05165495350957
p05_seed2026082206,selection,20,4,1,3,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,514798.9338719952,7800,1536,475206451200,143769600,1.9923029467463493,32,56278.61803230824,0.32738274702088704,0.10213609667792554,0.10932155109074493,298752,597504,766771200,0.0016135538523598225,910540800,0.0019160951996772893,9.05165495350957
p05_seed2026082206,selection,20,4,1,3,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,514798.9338719952,7800,1536,475206451200,143769600,1.9923029467463493,64,43181.97024012025,0.2867710477989169,0.08946615461245275,0.08388123466525561,597504,1195008,1533542400,0.003227107704719645,1677312000,0.0035296490520371118,9.05165495350957
p05_seed2026082206,selection,20,4,1,3,True,causal_current_input_channel_diagonal,525087.7027407713,5394918.788822209,514798.9338719952,7800,1536,475206451200,143769600,1.9923029467463493,96,35579.84511034121,0.2603071533288273,0.08121001127971005,0.06911406127275556,896256,1792512,2300313600,0.004840661557079467,2444083200,0.0051432029043969344,9.05165495350957
