split,sampling_step,branch,layer,method,router,density,tail_group_size,records,aggregate_output_relative_l2,record_error_p95,record_error_max,selected_attention_mass_mean,attention_work_ratio_mean,flop_proxy_speedup
calibration,9,cond,14,centroid,oracle_mass,0.125,8,12,0.12471570528143228,0.28517102823613216,0.3041115271949129,0.7415079548954964,0.25003052503052503,3.9995116591380784
calibration,9,cond,14,centroid,oracle_mass,0.25,16,12,0.09060393651792231,0.2105289414264489,0.2220771042796998,0.8368427554766337,0.3125763125763125,3.1992187500000004
calibration,9,cond,14,centroid,oracle_mass,0.25,4,12,0.07902232467120211,0.18311488980183382,0.19322374497330522,0.8368427554766337,0.4531746031746033,2.206654991243432
calibration,9,cond,14,centroid,oracle_mass,0.25,8,12,0.08592264982279543,0.2005174165330615,0.21105721293557758,0.8368427554766337,0.35943223443223443,2.7821656050955412
calibration,9,cond,14,centroid,oracle_mass,0.375,16,12,0.06361257825681947,0.15118420088186496,0.15449278026943122,0.8898118088642756,0.42975172975172987,2.326924898191116
calibration,9,cond,14,centroid,oracle_mass,0.375,4,12,0.0552060076293799,0.13456735189386312,0.1370214602354955,0.8898118088642756,0.5469169719169719,1.8284310989562986
calibration,9,cond,14,centroid,oracle_mass,0.375,8,12,0.06029191762658399,0.14518092267735544,0.1479727677882437,0.8898118088642756,0.46879833129833126,2.1331133949016245
calibration,9,cond,29,centroid,moment,0.125,16,12,0.01685634883155774,0.034138103640511265,0.03601498034962961,0.7896047532558441,0.19536019536019536,5.11875
calibration,9,cond,29,centroid,moment,0.125,4,12,0.009783422953435547,0.01959076868376492,0.020712985449098664,0.7896047532558441,0.3594017094017094,2.7824019024970275
calibration,9,cond,29,centroid,moment,0.125,8,12,0.013774776418030663,0.027447805081371558,0.02824905199139085,0.7896047532558441,0.25003052503052503,3.9995116591380784
calibration,9,cond,29,centroid,moment,0.25,16,12,0.010143711978639818,0.020381913358925204,0.020432104462170576,0.8567586193482081,0.31255596255596246,3.199427046031644
calibration,9,cond,29,centroid,moment,0.25,4,12,0.005923714301350502,0.012579732912578832,0.013882904956678035,0.8567586193482081,0.45315934065934077,2.2067293119127003
calibration,9,cond,29,centroid,moment,0.25,8,12,0.008262789896603817,0.017164736702106442,0.01800962518926814,0.8567586193482081,0.3594144281644282,2.7823034403685956
calibration,9,cond,29,centroid,moment,0.375,16,12,0.00709482182758057,0.015088856717625308,0.015514688937611319,0.8986766835053762,0.4296703296703297,2.3273657289002556
calibration,9,cond,29,centroid,moment,0.375,4,12,0.00418410428004934,0.009209170572576829,0.01048088086145446,0.8986766835053762,0.5468559218559218,1.8286352218811055
calibration,9,cond,29,centroid,moment,0.375,8,12,0.005785976629752585,0.012596038417130086,0.013630101040302697,0.8986766835053762,0.4687271062271063,2.133437530526521
calibration,9,cond,29,centroid,oracle_mass,0.125,16,12,0.01570425608315211,0.03153213066077504,0.031698490106567376,0.7919681097070376,0.19536019536019536,5.11875
calibration,9,cond,29,centroid,oracle_mass,0.125,4,12,0.00911549755541972,0.01772112885106719,0.01865943563980214,0.7919681097070376,0.3594017094017094,2.7824019024970275
calibration,9,cond,29,centroid,oracle_mass,0.125,8,12,0.01282253280949535,0.024537159829874748,0.025196836146766922,0.7919681097070376,0.25003052503052503,3.9995116591380784
calibration,9,cond,29,centroid,oracle_mass,0.25,16,12,0.00971606511964447,0.0203139451029746,0.020319754980832647,0.8586792573332787,0.3125763125763125,3.1992187500000004
calibration,9,cond,29,centroid,oracle_mass,0.25,4,12,0.005747250861739037,0.01246612692001536,0.013894024177964478,0.8586792573332787,0.4531746031746033,2.206654991243432
calibration,9,cond,29,centroid,oracle_mass,0.25,8,12,0.007993599399514847,0.017077244084737563,0.018012497985794178,0.8586792573332787,0.35943223443223443,2.7821656050955412
calibration,9,cond,29,centroid,oracle_mass,0.375,16,12,0.006861907227357023,0.015091649270556173,0.015541358820861526,0.8998192151387533,0.4297110297110298,2.3271452926690657
calibration,9,cond,29,centroid,oracle_mass,0.375,4,12,0.004065042230719494,0.009185662104814335,0.010493196085967417,0.8998192151387533,0.5468864468864468,1.8285331547220363
calibration,9,cond,29,centroid,oracle_mass,0.375,8,12,0.005604909853473483,0.012519540979048163,0.0136473475528832,0.8998192151387533,0.46876271876271874,2.133275450401563
test,0,cond,0,centroid,moment,0.125,16,24,0.20189591053392317,0.7572758981065557,0.8174831004391345,0.5967336793740591,0.1953398453398454,5.119283258672777
test,0,cond,0,centroid,moment,0.125,4,24,0.16426784218449167,0.6097262658871485,0.6578354963677383,0.5967336793740591,0.3593864468864467,2.782520066250479
test,0,cond,0,centroid,moment,0.125,8,24,0.1894888310359631,0.7057895643897609,0.7615476089275435,0.5967336793740591,0.25001271876271863,3.9997965101490585
