case,head,method,requested_token_budget,actual_critical_tokens,rank,keys,representation_ratio_full_n,attention_rel_fro,output_rel_l2,output_cosine,critical_mass
f81,1,block32_oracle,512,512,16,32760,0.016605616605616606,0.3552238941192627,0.12185952812433243,0.9925618767738342,0.5173872113227844
f81,1,block32_oracle,512,512,32,32760,0.017582417582417582,0.3343065083026886,0.11457230150699615,0.9934202432632446,0.5173872113227844
f81,1,block32_oracle,512,512,64,32760,0.019536019536019536,0.30469629168510437,0.10076535493135452,0.9949113130569458,0.5173872113227844
f81,1,block64_oracle,512,512,8,32760,0.016117216117216115,0.4987342059612274,0.17642417550086975,0.9843491911888123,0.4123891294002533
f81,1,block64_oracle,512,512,16,32760,0.016605616605616606,0.4826796054840088,0.16414697468280792,0.9864451885223389,0.4123891294002533
f81,1,block64_oracle,512,512,32,32760,0.017582417582417582,0.45610031485557556,0.15448641777038574,0.9879966378211975,0.4123891294002533
f81,1,block64_oracle,512,512,64,32760,0.019536019536019536,0.41649720072746277,0.13886837661266327,0.9903115630149841,0.4123891294002533
f81,1,block128_oracle,512,512,8,32760,0.016117216117216115,0.5624269843101501,0.20640112459659576,0.9785012006759644,0.37443679571151733
f81,1,block128_oracle,512,512,16,32760,0.016605616605616606,0.5450263619422913,0.19516144692897797,0.9807883501052856,0.37443679571151733
f81,1,block128_oracle,512,512,32,32760,0.017582417582417582,0.5164876580238342,0.1811268925666809,0.9834637641906738,0.37443679571151733
f81,1,block128_oracle,512,512,64,32760,0.019536019536019536,0.47278860211372375,0.16683627665042877,0.9859845638275146,0.37443679571151733
f81,1,token_topk_oracle,1024,1024,8,32760,0.031746031746031744,0.023299382999539375,0.007631934713572264,0.9999707937240601,0.9142111539840698
f81,1,token_topk_oracle,1024,1024,16,32760,0.03223443223443223,0.022314075380563736,0.007249640300869942,0.9999735951423645,0.9142111539840698
f81,1,token_topk_oracle,1024,1024,32,32760,0.03321123321123321,0.020958835259079933,0.006738177500665188,0.9999772310256958,0.9142111539840698
f81,1,token_topk_oracle,1024,1024,64,32760,0.035164835164835165,0.019206607714295387,0.00609078723937273,0.9999814033508301,0.9142111539840698
f81,1,block16_oracle,1024,1024,8,32760,0.031746031746031744,0.09099151939153671,0.035717472434043884,0.9993692636489868,0.816100537776947
f81,1,block16_oracle,1024,1024,16,32760,0.03223443223443223,0.08678629994392395,0.030212201178073883,0.9995439052581787,0.816100537776947
f81,1,block16_oracle,1024,1024,32,32760,0.03321123321123321,0.08160051703453064,0.026998478919267654,0.9996354579925537,0.816100537776947
f81,1,block16_oracle,1024,1024,64,32760,0.035164835164835165,0.07552862912416458,0.02486439049243927,0.9996907711029053,0.816100537776947
f81,1,block32_oracle,1024,1024,8,32760,0.031746031746031744,0.18965120613574982,0.07394328713417053,0.9973030686378479,0.7023946046829224
f81,1,block32_oracle,1024,1024,16,32760,0.03223443223443223,0.1817527860403061,0.0641823261976242,0.9979472160339355,0.7023946046829224
f81,1,block32_oracle,1024,1024,32,32760,0.03321123321123321,0.17040835320949554,0.0599520243704319,0.9982054233551025,0.7023946046829224
f81,1,block32_oracle,1024,1024,64,32760,0.035164835164835165,0.15644052624702454,0.05261845514178276,0.9986146688461304,0.7023946046829224
f81,1,block64_oracle,1024,1024,8,32760,0.031746031746031744,0.2968917787075043,0.11393973231315613,0.993565559387207,0.6040807962417603
f81,1,block64_oracle,1024,1024,16,32760,0.03223443223443223,0.2859089970588684,0.1013074666261673,0.9948778748512268,0.6040807962417603
f81,1,block64_oracle,1024,1024,32,32760,0.03321123321123321,0.2689761519432068,0.0946895107626915,0.9955172538757324,0.6040807962417603
f81,1,block64_oracle,1024,1024,64,32760,0.035164835164835165,0.24597182869911194,0.08216162770986557,0.996618926525116,0.6040807962417603
f81,1,block128_oracle,1024,1024,8,32760,0.031746031746031744,0.3400031626224518,0.1229025349020958,0.9924595952033997,0.5756081938743591
f81,1,block128_oracle,1024,1024,16,32760,0.03223443223443223,0.3285033106803894,0.11254221946001053,0.9936559200286865,0.5756081938743591
f81,1,block128_oracle,1024,1024,32,32760,0.03321123321123321,0.3105420470237732,0.10531847178936005,0.9944403171539307,0.5756081938743591
f81,1,block128_oracle,1024,1024,64,32760,0.035164835164835165,0.28556668758392334,0.09505011141300201,0.9954732060432434,0.5756081938743591
f81,2,token_topk_oracle,64,64,8,32760,0.002442002442002442,0.15137054026126862,0.07001689076423645,0.9975457787513733,0.0064532570540905
f81,2,token_topk_oracle,64,64,16,32760,0.0029304029304029304,0.10900778323411942,0.027787737548351288,0.9996138215065002,0.0064532570540905
f81,2,token_topk_oracle,64,64,32,32760,0.003907203907203907,0.09384527057409286,0.02336219511926174,0.9997269511222839,0.0064532570540905
f81,2,token_topk_oracle,64,64,64,32760,0.005860805860805861,0.07881380617618561,0.014913777820765972,0.9998886585235596,0.0064532570540905
f81,2,block16_oracle,64,64,8,32760,0.002442002442002442,0.14140531420707703,0.06743384897708893,0.9977235794067383,0.0031081102788448334
